description,category,color,fabric,neckline,sleeve,length,silhouette,embellishment
Women's red cotton A-line kurta with V-neck and three-quarter sleeves,Kurta,Red,Cotton,V-Neck,3/4 Sleeve,,A-Line,
Black silk maxi dress with round neck and sleeveless design,Dress,Black,Silk,Round Neck,Sleeveless,Maxi,,Solid
Blue linen shirt with full sleeves and collar,Shirt,Blue,Linen,Collar,Full Sleeve,,Regular Fit,
Green rayon straight kurta with round neck and half sleeves,Kurta,Green,Rayon,Round Neck,Half Sleeve,,Straight,
White cotton printed top with boat neck and short sleeves,Top,White,Cotton,Boat Neck,Half Sleeve,,Regular Fit,Printed
Yellow georgette fit and flare dress with V-neck,Dress,Yellow,Georgette,V-Neck,Sleeveless,Midi,Fit & Flare,
Navy blue polyester polo T-shirt with half sleeves,T-Shirt,Navy Blue,Polyester,Collar,Half Sleeve,,Regular Fit,
Pink chiffon embroidered saree,Saree,Pink,Chiffon,,,,,Embroidered
Grey cotton straight pants,Pants,Grey,Cotton,,,,Straight,
Maroon velvet maxi gown with full sleeves,Gown,Maroon,Velvet,Round Neck,Full Sleeve,Maxi,A-Line,
Orange linen casual shirt with mandarin collar,Shirt,Orange,Linen,Mandarin Collar,Full Sleeve,,Regular Fit,
Purple silk embroidered kurta with boat neck,Kurta,Purple,Silk,Boat Neck,3/4 Sleeve,,Straight,Embroidered
Cream cotton A-line dress with floral print,Dress,Cream,Cotton,Round Neck,Half Sleeve,Knee Length,A-Line,Printed
Black denim jacket with full sleeves,Jacket,Black,Denim,Collar,Full Sleeve,,Regular Fit,
White polyester hoodie with long sleeves,Hoodie,White,Polyester,Hood,Full Sleeve,,Regular Fit,
Blue cotton checked shirt,Shirt,Blue,Cotton,Collar,Full Sleeve,,Regular Fit,Checked
Red chiffon party gown with sequins,Gown,Red,Chiffon,V-Neck,Sleeveless,Maxi,Fit & Flare,Sequined
Olive green linen trousers,Trousers,Olive Green,Linen,,,,Straight,
Beige rayon tunic with mandarin collar,Tunic,Beige,Rayon,Mandarin Collar,Half Sleeve,,Regular Fit,
Lavender cotton kurta with embroidered yoke,Kurta,Lavender,Cotton,Round Neck,3/4 Sleeve,,Straight,Embroidered
Turquoise georgette maxi dress,Dress,Turquoise,Georgette,V-Neck,Sleeveless,Maxi,Fit & Flare,
Brown wool sweater with round neck,Sweater,Brown,Wool,Round Neck,Full Sleeve,,Regular Fit,
Mustard cotton T-shirt with crew neck,T-Shirt,Mustard,Cotton,Crew Neck,Half Sleeve,,Regular Fit,
White lace top with puff sleeves,Top,White,Lace,Square Neck,Half Sleeve,,Regular Fit,Lace
Black leather jacket with zipper,Jacket,Black,Leather,Collar,Full Sleeve,,Regular Fit,
Sky blue cotton straight kurta,Straight Kurta,Sky Blue,Cotton,Round Neck,Half Sleeve,,Straight,
Peach silk saree with zari border,Saree,Peach,Silk,,,,,Zari
Dark green velvet blazer,Blazer,Dark Green,Velvet,Collar,Full Sleeve,,Regular Fit,
Red floral printed midi dress,Dress,Red,Cotton,V-Neck,Half Sleeve,Midi,A-Line,Printed
Charcoal grey formal trousers,Trousers,Charcoal Grey,Polyester,,,,Straight,
Ivory linen tunic with side slits,Tunic,Ivory,Linen,Boat Neck,3/4 Sleeve,,Straight,
Blue denim jeans,Jeans,Blue,Denim,,,,Slim Fit,
White cotton polo shirt,Shirt,White,Cotton,Collar,Half Sleeve,,Regular Fit,
Black rayon palazzo pants,Palazzo,Black,Rayon,,,,Wide Leg,
Coral chiffon layered dress,Dress,Coral,Chiffon,Round Neck,Sleeveless,Midi,Fit & Flare,
Emerald green silk kurta with embroidery,Kurta,Emerald Green,Silk,V-Neck,Full Sleeve,,Straight,Embroidered
Navy blue cotton hoodie,Hoodie,Navy Blue,Cotton,Hood,Full Sleeve,,Regular Fit,
Pink linen shirt dress,Dress,Pink,Linen,Collar,Half Sleeve,Knee Length,Straight,
Golden sequined evening gown,Gown,Golden,Polyester,Sweetheart Neck,Sleeveless,Maxi,Fit & Flare,Sequined
White embroidered cotton kurti,Kurta,White,Cotton,Round Neck,3/4 Sleeve,,Straight,Embroidered
Grey polyester track pants,Track Pants,Grey,Polyester,,,,Regular Fit,
Rust orange cotton A-line kurta,Kurta,Rust Orange,Cotton,V-Neck,Half Sleeve,,A-Line,
Black satin cocktail dress,Dress,Black,Satin,Square Neck,Sleeveless,Mini,Bodycon,
Mint green rayon top with bell sleeves,Top,Mint Green,Rayon,Round Neck,Full Sleeve,,Regular Fit,
Blue striped cotton shirt,Shirt,Blue,Cotton,Collar,Full Sleeve,,Regular Fit,Striped
Magenta silk anarkali dress,Dress,Magenta,Silk,Round Neck,Full Sleeve,Maxi,Anarkali,Embroidered
Khaki cotton cargo pants,Cargo Pants,Khaki,Cotton,,,,Relaxed Fit,
White georgette party top,Top,White,Georgette,V-Neck,Half Sleeve,,Regular Fit,
Dark blue denim shorts,Shorts,Dark Blue,Denim,,,,Regular Fit,
Maroon cotton sweatshirt,Sweatshirt,Maroon,Cotton,Crew Neck,Full Sleeve,,Regular Fit,
Silver sequined party dress,Dress,Silver,Polyester,Round Neck,Sleeveless,Mini,Bodycon,Sequined
